===============================================================================
EXTENSION NAME : linecounter
EXTENSION VERSION : 0.2.2
-------------------------------------------------------------------------------
count time : 2019-11-12 18:39:54
count workspace : d:\phpStudy\PHPTutorial\WWW\teahouse
total files : 7217
total code lines : 5824314
total comment lines : 190929
total blank lines : 248607

    statistics
   |      extension|     total code|  total comment|    total blank|percent|
   -------------------------------------------------------------------------
application\admin\controller\Version.php, code is 5, comment is 0, blank is 0.
application\admin\controller\Wxview.php, code is 259, comment is 49, blank is 26.
application\admin\model\AdderOrder.php, code is 19, comment is 0, blank is 5.
application\admin\model\Admin.php, code is 27, comment is 25, blank is 11.
application\admin\model\Apply.php, code is 14, comment is 8, blank is 15.
application\admin\model\Commodity.php, code is 33, comment is 8, blank is 10.
application\admin\model\Distribution.php, code is 27, comment is 6, blank is 10.
application\admin\model\Goods.php, code is 88, comment is 23, blank is 21.
application\admin\model\goods_type.php, code is 6, comment is 0, blank is 3.
application\admin\model\GoodsImages.php, code is 7, comment is 0, blank is 4.
application\admin\model\ImagesOnline.php, code is 6, comment is 6, blank is 1.
application\admin\model\Leaguer.php, code is 26, comment is 6, blank is 2.
application\admin\model\Member.php, code is 34, comment is 32, blank is 12.
application\admin\model\MemberGrade.php, code is 16, comment is 12, blank is 6.
application\admin\model\Menu.php, code is 15, comment is 11, blank is 8.
application\admin\model\Miniprogram.php, code is 304, comment is 121, blank is 156.
application\admin\model\Notice.php, code is 7, comment is 0, blank is 3.
application\admin\model\Order.php, code is 36, comment is 8, blank is 10.
application\admin\model\Role.php, code is 15, comment is 11, blank is 8.
application\admin\model\Seckills.php, code is 7, comment is 6, blank is 2.
application\admin\model\Shopping.php, code is 7, comment is 0, blank is 4.
application\admin\model\shopping_shop.php, code is 7, comment is 0, blank is 4.
application\admin\model\Store.php, code is 40, comment is 28, blank is 11.
application\admin\tags.php, code is 10, comment is 17, blank is 1.
application\admin\view\active_order\active_order_index.html, code is 247, comment is 3, blank is 39.
application\admin\view\admin\edit.html, code is 169, comment is 3, blank is 28.
application\admin\view\admin\index.html, code is 154, comment is 3, blank is 30.
application\admin\view\admin\save.html, code is 167, comment is 3, blank is 24.
application\admin\view\advertisement\accessories_business_add.html, code is 378, comment is 3, blank is 43.
application\admin\view\advertisement\accessories_business_advertising.html, code is 280, comment is 3, blank is 42.
application\admin\view\advertisement\accessories_business_edit.html, code is 448, comment is 6, blank is 49.
application\admin\view\analyse\analyse_add.html, code is 1132, comment is 3, blank is 100.
application\admin\view\analyse\analyse_after_sale.html, code is 1039, comment is 10, blank is 82.
application\admin\view\analyse\analyse_edit.html, code is 1612, comment is 17, blank is 135.
application\admin\view\analyse\analyse_index.html, code is 284, comment is 3, blank is 33.
application\admin\view\analyse\analyse_invented.html, code is 1068, comment is 3, blank is 97.
